Language;Country
fi;FIN
en;USA
de;GER
da;DNK
he;ISR
ja;JPN
es;ARG
zh;SGP
pl;POL
ko;KOR
fr;FRA
sv;FIN
it;ITA
ru;RUS
pt;BRA
el;GRC
cs;CZE
bn;IND
cn;IND
nl;BEL
hi;IND
mn;MNG
sr;SRB
ro;ROU
fa;IRN
is;ISL
tr;TUR
bg;BGR
hu;HUN
ar;BHR
bs;BIH
no;NOR
th;THA
hr;BIH
lt;LTU
ab;RUS
nb;NOR
xx;IND
ta;IND
sk;SVK
sl;SVN
ml;IND
vi;VNM
id;IDN
te;IND
mr;IND
sh;IND
lv;LVA
ca;ESP
kn;IND
ms;BRN
uk;UKR
mk;MKD
tl;PHL
ky;KGZ
sq;ALB
ka;GEO
aa;ETH
et;EST
bm;MLI
sm;WSM
ur;IND
af;ZAF
ps;AFG
kk;KAZ
gd;SCT
tk;TKM
cy;GBR
tg;IRN
pa;IND
ga;IRL
az;IRN
kl;GRL
eu;ESP
bo;TIB
ku;TUR
hy;ARM
gl;ESP
lo;LAO
ig;NGA
si;LKA
uz;UZB
wo;SEN
fo;FRO
so;SOM
co;FRA
gn;PRY
mt;MLT
sn;ZWE
mi;NZL
am;ETH
ne;NPL
lb;LUX
